START_IP,END_IP,COUNT_IP
129.222.88.0,129.222.88.255,256
149.112.20.0,149.112.20.255,256
149.112.32.0,149.112.32.255,256
172.225.152.0,172.225.152.255,256
172.225.32.0,172.225.32.255,256
185.212.72.0,185.212.75.255,"1,024"
192.96.136.0,192.96.137.255,512
206.130.228.0,206.130.228.255,256
206.83.45.0,206.83.45.255,256
23.135.232.0,23.135.232.255,256
23.136.248.0,23.136.248.255,256
90.31.118.0,90.31.118.255,256
